Titulo,Precio,Popularidad,Duracion,Tema
Free Beginner Electric Guitar Lessons,0,0.88,4.5,Musical Instruments
Pianoforall - Incredible New Way To Learn Piano & Keyboard,200,0.96,30.0,Musical Instruments
Getting Started with Playing Guitar,0,0.68,4.0,Musical Instruments
Complete Guitar System - Beginner to Advanced,145,0.65,34.0,Musical Instruments
Learn Guitar in 21 Days,20,0.41,2.5,Musical Instruments
The Professional Guitar Masterclass,200,0.3,9.5,Musical Instruments
Introduction to Piano - By PGN Piano!,0,0.3,0.6666666667,Musical Instruments
Best Beginner Guitar Lessons by Sam Lyons,20,0.3,2.0,Musical Instruments
Acoustic Guitar Basics,0,0.47,2.0,Musical Instruments
Guitar Super System Level 1,50,0.94,5.0,Musical Instruments
The Complete Piano & Music Theory Beginners Course,50,0.12,1.5,Musical Instruments
"Jazz Guitar Tips, Tricks and Licks",0,0.18,2.0,Musical Instruments
The Total Beginner's Guitar Course,0,0.18,1.5,Musical Instruments
"LEARN HARMONICA, amaze your friends and have fun - it's easy",200,0.43,15.5,Musical Instruments
How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,0,0.52,1.5,Musical Instruments
Acoustic Blues Guitar Lessons,0,0.3,1.0,Musical Instruments
Ultimate Beginner Guitar Masterclass,200,0.18,11.5,Musical Instruments
Quicklessons Piano Course - Learn to Play Piano by Ear!,200,0.15,8.5,Musical Instruments
A new approach to piano and playing songs for beginners,50,0.18,1.5,Musical Instruments
Get started playing blues harmonica,0,0.99,0.6166666667,Musical Instruments
Acoustic Fingerstyle Guitar Course: Beginner to Advanced,200,0.11,4.0,Musical Instruments
PI-101 Top 10 Classical Piano Pieces for Beginners,0,0.96,1.0,Musical Instruments
"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",100,0.14,5.0,Musical Instruments
Virtual Piano Lessons - A New Way To Learn Piano,50,0.14,1.0,Musical Instruments
Guitar Crash Course (No Experience Necessary),0,0.14,1.0,Musical Instruments
"Beginner Violin 101: Care, Maintenance, and the Right Gear",0,0.14,4.0,Musical Instruments
How to play Piano - Go from a Beginner/Intermediate to a Pro,200,0.14,31.0,Musical Instruments
Learn to Read & Write Music to play Piano & more instruments,115,0.14,10.5,Musical Instruments
Play Piano in 30 Days! - Start Playing NOW!,0,0.14,3.0,Musical Instruments
The Complete Piano Course - Master The Piano,95,0.14,23.0,Musical Instruments
Piano Music Theory (Back To Basics) by JFilt,0,0.14,0.5,Musical Instruments
Learn to play your favorite guitar songs by ear,50,0.14,1.5,Musical Instruments
Learn 4 Chords and Play Thousands of Songs!,20,0.14,1.5,Musical Instruments
Play Piano by Ear Today! SuperCourse,60,0.14,5.5,Musical Instruments
"7 Ways A Beginner Guitarist Can Sound Better, Instantly!",0,0.14,0.6,Musical Instruments
5 lecciones que todo guitarrista debe tomar,0,0.14,1.0,Musical Instruments
Guitar Super System Level 2,50,0.14,1.5,Musical Instruments
Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,200,0.14,28.5,Musical Instruments
3 step formula for playing guitar by ear,25,0.14,1.5,Musical Instruments
A beginner`s guide to fingerpicking and strumming guitar',0,0.14,2.0,Musical Instruments
Piano for Singer/Songwriters | Write Songs and Perform Live!,100,0.14,3.0,Musical Instruments
Guitar Lessons - String Bending And Vibrato Essentials,0,0.14,1.0,Musical Instruments
Blues Guitar Fundamentals,50,0.14,1.5,Musical Instruments
Learn to Play Piano From a Concert Pianist - For Beginners,200,0.11,1.0,Musical Instruments
Tenor Banjo for Absolute Beginners,0,0.11,0.6166666667,Musical Instruments
Guitar Kick Start,0,0.11,1.0,Musical Instruments
Modern Rock Guitar Techniques,50,0.11,3.0,Musical Instruments
Fun Ukulele Strumming Course,45,0.11,1.0,Musical Instruments
#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,35,0.11,1.5,Musical Instruments
Play Piano Today - Easy Festive Favorites & Piano Party Hits,75,0.11,4.0,Musical Instruments
Fingerstyle Guitar Mastery: 3 Techniques You Need To Know,0,0.11,0.5666666667,Musical Instruments
Guitar - Learn 10 Legendary Chord Progressions for Guitar,55,0.11,1.5,Musical Instruments
The Essentials of Acoustic Guitar Strumming Patterns,0,0.11,1.0,Musical Instruments
Guitar - Blues Guitar for Beginners,45,0.11,1.0,Musical Instruments
Keyboard Instruments - Read Sheet Music for Piano Fast!,50,0.11,1.5,Musical Instruments
The Allman Brothers Guitar Roots And Techniques,75,0.11,1.5,Musical Instruments
How to Play the Guitar: Your 30-Day Guide to Learn Guitar,20,0.11,6.0,Musical Instruments
Guitar Insanity Workout - Eatmystrings!,50,0.11,2.5,Musical Instruments
Blues Master - Beginner's Techniques Piano Course,0,0.11,1.5,Musical Instruments
The 80/20 Guitar: Write Music and Play Guitar in 30 Days,0,0.11,3.5,Musical Instruments
"Beginner's Guitar: Tuning, Strumming, and Chords!",0,0.11,0.6166666667,Musical Instruments
Guitar Lessons: The Essential Beginner & Intermediate Course,0,0.11,2.0,Musical Instruments
"Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead",95,0.11,3.0,Musical Instruments
Get great playing HARMONICA - a fun new leisure time hobby !,35,0.11,2.0,Musical Instruments
How To Make Money With A Cover Band,50,0.11,3.5,Musical Instruments
Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,95,0.11,2.5,Musical Instruments
Playing Piano: Scales and Arpeggios Vol.I : Major keys,50,0.11,1.0,Musical Instruments
Just chords Piano: Learn to Play Piano Quickly - No Music,85,0.11,5.0,Musical Instruments
"Learn How to Play Blues, Rock, & Boogie Woogie Piano Today",45,0.12,0.65,Musical Instruments
Essential Theory and Technique for Guitar,0,0.76,2.0,Musical Instruments
Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro,70,0.47,1.0,Musical Instruments
Master Class # 11:  Play Piano Techniques Learn Piano 1 to10,95,0.73,2.0,Musical Instruments
Guitar - 12  Strumming Patterns You Must Know For Guitar,50,0.69,1.0,Musical Instruments
"Learn guitar the Right way! Complete 'KickStarter course""",150,0.96,9.0,Musical Instruments
Beginner Guitar Quick-Start Course,0,0.03,1.0,Musical Instruments
Guitar: Learn 10 CCR Guitar Chord Progressions,50,0.36,2.0,Musical Instruments
Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands,95,0.2,2.5,Musical Instruments
#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,65,0.35,0.7333333333,Musical Instruments
#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,65,0.95,1.0,Musical Instruments
Your First Course on Piano,70,0.38,4.0,Musical Instruments
Learn to play the piano or keyboard from scratch,145,0.85,14.0,Musical Instruments
Playing Piano:  Play Chords and Popular Pieces Vol.I,100,0.83,3.0,Musical Instruments
Gitarre spielen wie die Profis,20,0.94,2.0,Musical Instruments
The Best Beginner Guitar Course Ever,50,0.76,1.0,Musical Instruments
Play Ukulele Now,30,0.8,5.0,Musical Instruments
Aprendiendo Piano: Ejercicios de calentamiento,0,0.11,0.55,Musical Instruments
Basic Piano Hymn Playing,20,0.12,1.5,Musical Instruments
Quick & Easy Piano Chords: Play more songs with more chords,55,0.52,2.5,Musical Instruments
Drumming for Beginners - Simple Way To Learn How To Drum,20,0.11,2.0,Musical Instruments
Learn How to Improvise on Guitar in 30 Days,200,0.47,6.0,Musical Instruments
Playing Piano : Reading and Playing Classical Tunes Vol.I,50,0.88,2.0,Musical Instruments
Learn Piano Scales: Play any song in any key! Like Pro's do,50,0.07,2.5,Musical Instruments
Piano Technique Exercises Vol.1,50,0.81,1.0,Musical Instruments
Piano Playing: Reading and Playing Classical Tunes Vol.II,40,0.94,1.5,Musical Instruments
Piano Tutorial : Ludovico Einaudi - Una Mattina,0,0.26,0.7333333333,Musical Instruments
Drums for Beginners,0,0.55,3.0,Musical Instruments
"Learn BASS GUITAR- Have Fun, Amaze Your Friends- It's Easy! ",100,0.96,2.0,Musical Instruments
Drumming Accelerator: How To Get The Best Start Possible,200,0.11,1.5,Musical Instruments
#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,75,0.47,1.0,Musical Instruments
Learn To Play The Drums Without A Drum Kit,25,0.89,2.0,Musical Instruments
